,Description,image,lat,lon,Places,Region
,"Within their domains occur a wide variety of rare and unusual animals, including, as described by Mark Moffett, 'the most primitive porcupine; dancing frog and fruit-eating frog; the Alagoas curassow, the few remaining specimens of which roam the private properties of two bird lovers; the largest New World primate, the muriqui; the most colorful of all primates, the golden lion tamarin; the golden lancehead viper of Queimada Grande Island, where it reaches the highest density known for any snake (not surprisingly, no person lives on 'snake island')'.",11.jpg,-16.499999,-39.249999,The Atlantic Forests of South America,South and Central America
,"Covering a large part of east-central Brazil, the Cerrado is the largest savanna in South America and the most biodiversity-rich of any such tropical habitat in the world.",12.jpg,-23.75436,-50.71332,The Cerrado,South and Central America
,"One of Earth's largest wetlands, mostly in southern Brazil but extending into Bolivia, this magnificent flood-plain is 80 percent underwater in the rainy season and is the year-round home to an immense variety of waterbird and insect life, as well as jaguars, capybaras, and other charismatic large mammals, including especially abundant crocodile-like caimans.",13.jpg,-16.75844,-56.87682,The Pantanal,South and Central America
,"Giant tortoises, marine iguanas, herbs of the sunflower family that transmuted into trees, finches evolved from a single ancestor to fill a half-dozen bird niches, and more, make the islands both a laboratory and a classroom of evolutionary biology",14.jpg,-0.7772589999999999,-91.142578,The Galápagos,South and Central America
,"A large fraction of the large mammals of Europe live within its confines, including most notably the European bison (which more than once has narrowly escaped extinction), roe deer, elk, wild boar, tarpan (a Polish wild forest horse), lynx, wolf, otter, and ermine. The nine hundred vascular plant species present include some of the largest oaks ever recorded.",15.jpg,52.7,23.86667,Białowieża Forest of Poland and Belarus,Europe
,"With an area of 31,722 square kilometers and a maximum depth of 1,642 meters, Lake Baikal is the oldest and deepest freshwater lake in the world. As expected from its volume, it also harbors a remarkably large fauna and flora for an isolated body in the high latitudes.",16.jpg,53.1736,107.6625,Lake Baikal of Russian Siberia,Europe
,"Less than 5 percent of the native forests of northern Ethiopia remain, and they are virtually all limited to properties of the Chruch-conspicuous from the air as green patches sprinkled across the brown landscape of subsistence agriculture.",17.jpg,11.918979,37.94342,The Christian Orthodox Church Forest of Ethiopia,Africa and Madagascar
,"An isolated island (with small satellites) located in the Indian Ocean 352 kilometers south of Yemen, Socotra is populated by trees and shrubs so strange in shape and foliage as to earn it the title ""another Galápagos"" and ""most alien-looking place on Earth."" Here you will find the dragon's blood tree, the wall-dwelling Socotran fig, toothed aloes, and other plant species hard to compare even in general form with vegetation elsewhere.",18.jpg,12.46342,53.823738,Socotra,Africa and Madagascar
,"Arguably the most famous terrestrial wildland ecosystem in the world is the great Serengeti (which means, in the Maasai language, ""endless plains""), spanning the vast area from northern Tanzania to southwestern Kenya. A substantial portion of its area, as well as that of Kenya, is protected by national parks, conservation areas, and game reserves. The faunas and floras, including especially the large mammals, are the closest we have to the originals that have populated the African tropical grasslands and savannas since Pleistocene times.",19.jpg,-2.394322,34.694824,The Serengeti Grassland Ecosystem,Africa and Madagascar
,"The country's premier reserve has a full representation of southeastern African biodiversity due to the multifarious habitats found within it, including a mountain ridge rising to almost two thousand meters, and topped by rain forest, miombo dry forest, multiple rivers and streams, gorges with bottoms covered in rain forest and flanked by limestone cliffs, the latter riddled with mostly unexplored caves.",20.jpg,-18.826527,34.511061,"Gorongosa National Park, Mozambique",Africa and Madagascar
,The country as a whole contains within its borders one of the world's several most abounding and distinctive assemblages of both animals and plants.,21.jpg,-33.918861,18.4233,South Africa,Africa and Madagascar
,"It is invested by tropical rain forest, constituting one of the world's three great rain forest wildernesses (the other two are the Amazon and New Guinea). Although under heavy siege from logging and conversion to agriculture, it remains home to more than three thousand unique plants and an immense fauna, including gorillas, okapi, forest elephants, and other famously spectacular species of large animals.",22.jpg,0.0,22.0,Forest of the Congo Basin,Africa and Madagascar
,"Many of the moist forests of Africa's western hump have been reduced drastically by human encroachment, but fragments still survive as islands that preserve parts of the once exceptionally rich flora and forest. A splendid example is the pristine Atewa Forest, at least ten and a half million years old, a remnant of the rain forest that has elsewhere been 80 percent removed.",23.jpg,6.166667,-0.6000000000000001,The Atewa Forests of Ghana,Africa and Madagascar
,"Being very big, ancient, and tropical, Madagascar harbors a very large and unique fauna and flora, with 70 percent or more of its species found nowhere else. Examples of evolutionary radiation in Madagascar's animals are the many, yet closely related, species of lemurs (primitive primates), chameleons, vangid shrikes, ranid frogs, and among the twelve thousand species of plants, complex palms, orchids, baobabs, and cactus-like Didiereaceae.",24.jpg,-19.756364,48.109131,Madagascar,Africa and Madagascar
,"Covered at different elevations variously by steppes, nothern coniferous forests, and high alpine vegetation, it contains a living encyclopedia of cold temperate and arctic mammals, and is one of the few places in all of Eurasia that harbors a true Ice Age fauna.Herbivores abounding its slopes include wapiti, moose, reindeer, Siberian musk deer, roe deer, and wild boar. Among their predators are brown bears, wolves, lynx, snow leopards, and wolverines.",25.jpg,45.0,99.0,The Altai Mountains,Asia
,"The island as a whole has lost a substantial fraction of its rain forest due to settlement and conversion to oil palm plantations. The damage has been what Science reported in 2007: 'Palm oil plantations are spreading sales of the biofuel soar, invasive acacia trees are on a rampage, and wildfires ravage the island each year.' Yet the interior of the great island, the 'Heart of Borneo,' remains the leading single harbor of Asia's tropical biodiversity.",26.jpg,-2.460181,113.730469,Borneo,Asia
,"The Western Ghats, a mountain range running parallel to the full length of the west coast, are the geological spine of India. Their range of elevation, from near sea level to 2695 meters at the highest point, and their tropical location combine to create a great variety of terrestrial habitats, and with them a high level of biodiversity. Native to the mostly rolling, forested hills are five thousand species of plants, of which seventeen hundred are endemic, and a major mammal fauna that includes the world's largest population of wild Asian elephants and a tenth of Earth's survivng tigers.",27.jpg,12.753954,75.644084,The Western Ghats of India,Asia
,"This idyllic mountain nation deserves praise for the preservation of much of its native habitats and biodiversity. Its faunas and floras remain an intact slice of those that originally characterized the bulk of the Himalayan mountains and foothills. In Bhutan, 70 percent of the land is covered by forest representing the three principal zones, tropical, temperate, and alpine. The five thousand known species of plants include forty-six rhododendrons and six hundred orchids.",28.jpg,27.724867,89.634705,Bhutan,Asia
,"The northern reaches of this still-seldom-visited country harbor four reserves, about thirty-one thousand square kilometers in combined area, and a rich fauna that includes elephants, bears, red pandas, tigers, and gibbons. This region includes tropical forests, coniferous woodland, and even patches of arctic grasslands above tree line.",29.jpg,18.364953,96.094666,Myanmar,Asia
,"Possessing a mild, Mediterranean-type climate and molybdenum-deficient soil that excludes species other than those adapted to the deficiency, the scrublands have evolved much like the flora of an oceanic island.",30.jpg,-30.829036,131.262553,Scrublands of Southwestern Australia,Australia and Melanesia
,"The national parks and other, remote areas of this part of the continent are among the most biologically diverse and least disturbed regions. Experiencing a comeback in its unique but elsewhere endangered marsupial fauna, Kimberley is correcty called Australia's 'last great wilderness.'",31.jpg,-17.579291,125.220951,The Kimberley Region of Northwestern Australia,Australia and Melanesia
,"The flat overflow lands of Sturt Stony Desert, located within the ultra-dry center of the continent, hold water only in the form of floods that occur many years apart. Abounding life emerges from dormancy at that time, drawing large flocks of waterbirds from far away. In between the errant rains the land is baked bone-dry, with knee-high sclerophyllous vegetation. Even when severe, it nevertheless teems with mostly hidden animal species.",32.jpg,-30.480119705,139.183273315,The Gibber Plains,Australia and Melanesia
,"The world's second largest island (after Greenland), about eight hundred thousand square kilometers in area, is still mostly invested in rainforest, wetlands, and upland grasslands. Its terrestrial biodiversity is generally recognized as both the richest and least explored in the world. The hyperdiversity is enhanced by the complex array of mountains ranges, the tallest soaring to alpine zones above forty-seven hundred meters, where occur permanently ice-covered peaks.",33.jpg,-7.293001,146.63744,New Guinea,Australia and Melanesia
,"Today more than 80 percent of the native plant and animal species are found nowhere else, and many are markedly different from anything found elsewhere. New Caledonia even harbors elements that were present before it departed the Australia-plus-Antarctica landmass. It has the highest number of endemic families of plants, including those with archaic features, most famously Amborella, the most primitive flowering plant known on Earth.",34.jpg,-22.27631,166.4572,New Caledonia,Australia and Melanesia
,"Here, in the most inhospitable ice-free land on Earth, a place rivaled in the poverty of its biodiversity only by the sere, rainless Atacama Desert of Chile, live just enough species to make a balanced ecosystem. Sparse traces of algae are the plants, and several species of nematodes, also commonly called roundworms, are variously herbivores and predators- what Diana Wall of Colorado State University calls the 'elephants and tigers' of the Antarctic soil. The simplicity of the material and energy cycle remind us that there exist organisms able to establish themselves almost anywhere. But as humanity scales down Earth's ecosystems, life will become progressively less interesting and more difficult to turn into a support system.",35.jpg,-77.5,162.0,McMurdo Dry Valleys,Antarctica
,"Its tropical climate, relatively large size, and mountainous terrain with multitudinous habitats promoted the genesis of a large diversity of land-dwelling plants and animals.",36.jpg,19.298183,-155.624084,Hawaii,Polynesia
